username,score,classification,total_posts,followers,posting_frequency,urgent_language,options_focus,day_trading_language,technical_analysis
FTV,95.0,HYPER_ACTIVE_TRADER,35,6627,10,10,6.0,10,10
OptionsPlayers,77.5,HYPER_ACTIVE_TRADER,33,17156,10,8,10,4,10
SoundsAwesome,73.8,HYPER_ACTIVE_TRADER,34,937,10,10,6.0,2,7
giocatore,72.5,HYPER_ACTIVE_TRADER,33,494,10,6,10,6,3
CowBoE,71.3,HYPER_ACTIVE_TRADER,37,1168,10,10,4.5,0,6
Ro_Patel,71.2,HYPER_ACTIVE_TRADER,33,44045,10,8,10,0,2
TeamJayDay,71.2,HYPER_ACTIVE_TRADER,31,318,10,10,9.0,4,4
smartoptionstrader,70.6,HYPER_ACTIVE_TRADER,30,6,10,10,10,4,10
KXTrading,68.1,ACTIVE_TRADER,30,2758,10,10,3.0,6,9
GekoMC,67.5,ACTIVE_TRADER,30,20,10,10,9.0,6,5
G101SPM,67.1,ACTIVE_TRADER,32,1485,10,8,10,0,5
sister,66.8,ACTIVE_TRADER,35,798,10,6,9.0,4,1
ImpactfulTrader,66.5,ACTIVE_TRADER,34,3582,10,8,10,0,5
LetsgoRandy,65.6,ACTIVE_TRADER,30,496,10,10,7.5,0,3
friedrich_telecom,65.0,ACTIVE_TRADER,30,176,10,10,9.0,4,5
topstockalerts,64.2,ACTIVE_TRADER,43,104515,10,10,9.0,6,5
Dr_Stoxx,63.7,ACTIVE_TRADER,35,112542,10,8,7.5,2,4
gaintrading101,61.3,ACTIVE_TRADER,30,117,10,4,9.0,0,2
Good2go,60.6,ACTIVE_TRADER,30,1679,10,10,6.0,4,5
QuantInsider,60.4,ACTIVE_TRADER,31,1644,10,10,10,6,4
RunnerSignals,60.2,ACTIVE_TRADER,32,283,10,10,7.5,10,6
Spidersweb,59.6,ACTIVE_TRADER,35,38,10,6,7.5,0,2
trading_signal,59.2,ACTIVE_TRADER,32,75,10,8,10,6,7
Oraki,58.2,ACTIVE_TRADER,36,75,10,8,10,2,2
MollyWantsACracker,58.2,ACTIVE_TRADER,33,2582,10,10,4.5,2,2
The_Joker_has_Spoken,57.5,ACTIVE_TRADER,30,153,10,6,10,0,1
flywithfitz81,57.2,ACTIVE_TRADER,37,474,10,8,9.0,2,3
TrendEdgeLogan,56.9,ACTIVE_TRADER,33,18094,10,10,1.5,6,8
StrategyStrangler,56.2,ACTIVE_TRADER,30,46,10,4,10,4,2
wader2k,56.2,ACTIVE_TRADER,35,1210,10,10,6.0,0,3
GODX,55.6,ACTIVE_TRADER,30,195,10,8,4.5,6,2
GLPTech,55.0,ACTIVE_TRADER,30,272,10,8,10,0,2
Deathbyinvesting,55.0,ACTIVE_TRADER,30,74,10,6,10,4,5
tedh101010,55.0,ACTIVE_TRADER,30,11,10,8,3.0,0,1
stockwatcherking,54.3,ACTIVE_TRADER,33,1347,10,8,9.0,10,1
techvested,53.8,ACTIVE_TRADER,30,1242,10,10,6.0,0,3
traderjoe90,53.8,ACTIVE_TRADER,30,196,10,6,10,2,3
Latterholt,53.1,ACTIVE_TRADER,30,834,10,6,10,4,4
FeroceResearchPazTeuR,53.1,ACTIVE_TRADER,31,35052,10,6,4.5,2,3
wha1e,52.5,ACTIVE_TRADER,32,35567,10,4,3.0,0,3
DrKim509,52.5,ACTIVE_TRADER,30,18,10,2,3.0,2,3
stockandsex,52.4,ACTIVE_TRADER,33,601,10,8,0.0,4,2
FallingKnifeVictim,51.9,ACTIVE_TRADER,30,125,10,6,7.5,4,2
FatDuck3,51.9,ACTIVE_TRADER,34,1034,10,8,4.5,0,5
rsmracks,51.2,ACTIVE_TRADER,32,1516,10,4,6.0,2,5
WrappedLunatic,50.9,ACTIVE_TRADER,33,175,10,4,0.0,0,0
WallStreetBuyDip,50.7,ACTIVE_TRADER,44,20303,10,6,4.5,2,4
tastysider,50.6,ACTIVE_TRADER,30,75,10,10,4.5,2,0
PersistentEnergy13,50.2,ACTIVE_TRADER,45,307,10,6,1.5,4,3
Pitts123,50.0,ACTIVE_TRADER,30,60,10,6,10,0,2
ScreenTime1,50.0,ACTIVE_TRADER,30,53,10,8,3.0,2,3
RonIsWrong,50.0,ACTIVE_TRADER,30,2799,10,6,10,4,0
Jack90,49.6,MODERATE_TRADER,37,374,10,8,9.0,2,2
GullyGully,49.4,MODERATE_TRADER,30,19,10,10,6.0,0,2
theoptionsplug,49.3,MODERATE_TRADER,33,2795,10,10,7.5,2,9
cat_from_the_future,48.8,MODERATE_TRADER,30,139,10,8,3.0,6,0
Dr_Feel_Good,48.8,MODERATE_TRADER,30,285,10,6,6.0,4,4
R33dh,48.8,MODERATE_TRADER,30,108,10,8,6.0,0,1
bottomfishtrader,48.8,MODERATE_TRADER,30,66,10,6,1.5,2,2
Paulzk,48.1,MODERATE_TRADER,30,209,10,6,4.5,0,4
fmcasado,48.1,MODERATE_TRADER,30,1735,10,6,7.5,6,1
Realy,48.1,MODERATE_TRADER,30,48,10,8,1.5,0,0
PENN4LIFE,48.1,MODERATE_TRADER,30,55,10,6,1.5,2,2
HumanCarBomb,48.1,MODERATE_TRADER,30,205,10,6,7.5,0,1
thewavetrading,48.0,MODERATE_TRADER,32,961,10,8,3.0,4,10
DonCorleone77,48.0,MODERATE_TRADER,39,60934,10,10,3.0,2,2
TheStockTraderHub,47.9,MODERATE_TRADER,32,41696,10,4,10,2,5
SweepCastApp,47.9,MODERATE_TRADER,47,429,10,2,10,0,0
Arikatys,47.8,MODERATE_TRADER,34,110,10,8,4.5,4,4
ZacksResearch,47.5,MODERATE_TRADER,62,76338,10,4,9.0,4,7
Kompac,47.5,MODERATE_TRADER,30,7,10,6,9.0,0,1
DiveBomb321,47.5,MODERATE_TRADER,30,1039,10,10,3.0,0,3
trading__analysis,47.5,MODERATE_TRADER,30,150,10,2,7.5,4,5
Steve_TheBull_Rogers,47.5,MODERATE_TRADER,35,17381,10,6,10,0,0
AnomalyTrader,47.5,MODERATE_TRADER,30,269,10,10,3.0,2,6
AlertsAndNews,47.4,MODERATE_TRADER,31,25969,10,10,6.0,2,2
davidmoadel,47.3,MODERATE_TRADER,31,54251,10,4,7.5,0,2
Synaptric,47.1,MODERATE_TRADER,31,20695,10,8,3.0,2,6
sgcny,47.1,MODERATE_TRADER,38,150,10,6,7.5,0,1
zman13007,46.9,MODERATE_TRADER,30,2,10,4,4.5,0,1
Chartist0_0,46.9,MODERATE_TRADER,30,2196,10,6,4.5,2,3
TheArtOfFinancialWar,46.9,MODERATE_TRADER,30,568,10,8,7.5,2,1
Me0wth,46.9,MODERATE_TRADER,30,234,10,6,1.5,0,0
VR_CMT,46.2,MODERATE_TRADER,30,35687,10,6,10,2,8
SmartMoneySarge,46.2,MODERATE_TRADER,30,73,10,8,4.5,4,5
ss1983,46.2,MODERATE_TRADER,30,293,10,6,6.0,0,1
CHR15M,46.2,MODERATE_TRADER,30,27,10,4,3.0,2,8
AnaIyze,46.2,MODERATE_TRADER,30,131,10,6,9.0,0,0
FBP,46.1,MODERATE_TRADER,34,890,10,4,1.5,2,1
whateverv4L,45.9,MODERATE_TRADER,25,2,10,6,4.5,0,3
TheStocksEconomist,45.6,MODERATE_TRADER,30,468,10,8,10,2,2
kingdomprofits,45.6,MODERATE_TRADER,30,107,10,8,3.0,6,5
muskegbaymomentum,45.6,MODERATE_TRADER,30,213,10,8,10,2,1
pnvoss,45.6,MODERATE_TRADER,30,1509,10,8,1.5,0,3
Emma_Brownnn,45.5,MODERATE_TRADER,32,33,10,6,4.5,6,3
SemiRetiredBlueCollarGuy,45.5,MODERATE_TRADER,33,16517,10,2,1.5,2,2
2TrustHim,45.4,MODERATE_TRADER,33,117,10,6,1.5,0,2
stockflashj,45.0,MODERATE_TRADER,30,16,10,10,4.5,0,2
PadZone1,45.0,MODERATE_TRADER,30,2013,10,10,9.0,4,0
TechTraderGrok,45.0,MODERATE_TRADER,31,157,10,10,1.5,4,10
Itsmrnobody214,45.0,MODERATE_TRADER,30,188,10,6,7.5,4,1
DevonExeter,45.0,MODERATE_TRADER,30,128,10,8,4.5,0,0
Plans,45.0,MODERATE_TRADER,30,38,10,6,1.5,0,0
23ChaseColeman23,45.0,MODERATE_TRADER,41,483,10,4,6.0,0,2
AsymmCapital,45.0,MODERATE_TRADER,30,32,10,8,4.5,0,1
NostraTahoe,45.0,MODERATE_TRADER,30,52,10,4,3.0,0,0
Gimore_Happy,45.0,MODERATE_TRADER,30,15,10,6,0.0,0,0
Jasonalexander00,44.9,MODERATE_TRADER,43,75,10,6,3.0,0,1
illiquid,44.6,MODERATE_TRADER,34,123,10,4,4.5,2,4
BatAzz,44.4,MODERATE_TRADER,30,43,10,6,4.5,0,1
machusa,44.4,MODERATE_TRADER,30,294,10,6,4.5,0,3
In_N__Out,44.4,MODERATE_TRADER,30,253,10,6,1.5,0,0
MarketSamurai,44.4,MODERATE_TRADER,30,1772,10,10,3.0,2,3
