rank,username,product_fit_score,likelihood,timeframe,timeframe_confidence,strategy,strategy_confidence,conviction,risk_profile,posts,recommended_features
1,ChanceCramer,80,very_high,ultra_short_term,55,day_trader,60,low,aggressive,30,Mobile alerts | 0DTE options | Options chains
2,HumanCarBomb,80,very_high,ultra_short_term,55,day_trader,60,low,aggressive,30,Mobile alerts | 0DTE options | Options chains
3,WolfofStockTits,80,very_high,ultra_short_term,55,day_trader,90,low,aggressive,30,Mobile alerts | 0DTE options | Options chains
4,HeWhoLaughs,80,very_high,ultra_short_term,55,day_trader,60,low,aggressive,31,Mobile alerts | 0DTE options | Options chains
5,CowBoE,80,very_high,ultra_short_term,100,scalper,75,low,aggressive,49,Mobile alerts | 0DTE options | Options chains
6,lennonhansen18,80,very_high,ultra_short_term,65,day_trader,45,low,aggressive,16,Mobile alerts | 0DTE options | Options chains
7,prstrader,80,very_high,ultra_short_term,55,day_trader,60,low,aggressive,30,Mobile alerts | 0DTE options | Options chains
8,WrappedLunatic,80,very_high,ultra_short_term,55,day_trader,60,low,aggressive,31,Mobile alerts | 0DTE options | Options chains
9,Cousin_Vinny,80,very_high,ultra_short_term,80,day_trader,90,low,aggressive,30,Mobile alerts | 0DTE options | Options chains
10,UroptionTrader,80,very_high,ultra_short_term,55,day_trader,60,low,aggressive,30,Mobile alerts | 0DTE options | Options chains
11,MrTupperware,80,very_high,ultra_short_term,55,day_trader,60,low,aggressive,30,Mobile alerts | 0DTE options | Options chains
12,Late2Party,80,very_high,ultra_short_term,80,day_trader,90,low,aggressive,30,Mobile alerts | 0DTE options | Options chains
13,BigFatDude,80,very_high,ultra_short_term,55,day_trader,60,low,aggressive,30,Mobile alerts | 0DTE options | Options chains
14,zortman,80,very_high,ultra_short_term,55,scalper,60,low,aggressive,30,Mobile alerts | 0DTE options | Options chains
15,Ltrader23,80,very_high,ultra_short_term,80,day_trader,60,low,aggressive,30,Mobile alerts | 0DTE options | Options chains
16,dz_moneyman,80,very_high,ultra_short_term,100,day_trader,90,low,aggressive,30,Mobile alerts | 0DTE options | Options chains
17,Bull2dayBear2morrow,80,very_high,ultra_short_term,55,day_trader,60,low,aggressive,30,Mobile alerts | 0DTE options | Options chains
18,T_L808,80,very_high,ultra_short_term,100,day_trader,60,low,aggressive,31,Mobile alerts | 0DTE options | Options chains
19,HOSTILE,80,very_high,ultra_short_term,55,day_trader,60,low,aggressive,30,Mobile alerts | 0DTE options | Options chains
20,NewbieInvester,80,very_high,ultra_short_term,55,scalper,60,low,aggressive,30,Mobile alerts | 0DTE options | Options chains
21,m0k50,80,very_high,ultra_short_term,55,day_trader,60,low,aggressive,30,Mobile alerts | 0DTE options | Options chains
22,MrArbitrage,80,very_high,ultra_short_term,80,day_trader,60,low,aggressive,30,Mobile alerts | 0DTE options | Options chains
23,JCombee,80,very_high,ultra_short_term,55,day_trader,90,low,aggressive,30,Mobile alerts | 0DTE options | Options chains
24,daytradederic,80,very_high,ultra_short_term,80,day_trader,90,low,aggressive,30,Mobile alerts | 0DTE options | Options chains
25,ERTcapital,80,very_high,ultra_short_term,80,day_trader,90,low,aggressive,30,Mobile alerts | 0DTE options | Options chains
26,basstid,80,very_high,ultra_short_term,100,scalper,90,low,aggressive,31,Mobile alerts | 0DTE options | Options chains
27,Trans_Am_Pete,80,very_high,ultra_short_term,100,day_trader,90,low,aggressive,30,Mobile alerts | 0DTE options | Options chains
28,JeromesInkSupplier,80,very_high,ultra_short_term,100,day_trader,60,low,aggressive,30,Mobile alerts | 0DTE options | Options chains
29,Neotrin,80,very_high,ultra_short_term,100,day_trader,100,low,aggressive,30,Mobile alerts | 0DTE options | Options chains
30,Omegacy2,80,very_high,ultra_short_term,55,scalper,60,low,aggressive,30,Mobile alerts | 0DTE options | Options chains
31,Blane_Goldstein,80,very_high,ultra_short_term,100,day_trader,100,low,aggressive,30,Mobile alerts | 0DTE options | Options chains
32,Itsmrnobody214,80,very_high,ultra_short_term,80,scalper,60,low,aggressive,30,Mobile alerts | 0DTE options | Options chains
33,brooklynnvelasquez16,80,very_high,ultra_short_term,40,day_trader,45,low,aggressive,16,Mobile alerts | 0DTE options | Options chains
34,tuningin,80,very_high,ultra_short_term,55,scalper,60,low,aggressive,30,Mobile alerts | 0DTE options | Options chains
35,TwoToesTrading,80,very_high,ultra_short_term,80,scalper,60,low,aggressive,30,Mobile alerts | 0DTE options | Options chains
36,Longs_Onlyx,80,very_high,ultra_short_term,80,day_trader,90,low,aggressive,32,Mobile alerts | 0DTE options | Options chains
37,Maximus_Gainus,80,very_high,ultra_short_term,55,day_trader,60,low,aggressive,30,Mobile alerts | 0DTE options | Options chains
38,Thinking101,75,high,ultra_short_term,55,momentum_trader,60,low,aggressive,33,0DTE options | Options chains | Quick execution
39,AnonMav,75,high,short_term,80,day_trader,60,low,aggressive,30,Mobile alerts | Options chains | Paper trading
40,HarveyToronto,75,high,ultra_short_term,55,momentum_trader,60,low,aggressive,30,0DTE options | Options chains | Quick execution
41,RunnerSignals,75,high,ultra_short_term,55,momentum_trader,90,low,aggressive,32,0DTE options | Options chains | Quick execution
42,StockNipsDaily,75,high,ultra_short_term,55,momentum_trader,90,low,aggressive,32,0DTE options | Options chains | Quick execution
43,BladeX,75,high,short_term,55,scalper,60,low,aggressive,30,Mobile alerts | Options chains | Paper trading
44,updowninandout,75,high,ultra_short_term,55,swing_trader,60,low,aggressive,30,0DTE options | Options chains | Quick execution
45,TechNano,75,high,ultra_short_term,80,swing_trader,100,low,aggressive,30,0DTE options | Options chains | Quick execution
46,howardlindzon,75,high,ultra_short_term,55,momentum_trader,60,low,aggressive,34,0DTE options | Options chains | Quick execution
47,Andrewfritzen01,75,high,ultra_short_term,100,swing_trader,90,low,aggressive,30,0DTE options | Options chains | Quick execution
48,Quantocracy,75,high,ultra_short_term,55,momentum_trader,90,low,aggressive,30,0DTE options | Options chains | Quick execution
49,Meeso,70,high,ultra_short_term,55,scalper,60,low,moderate,30,Mobile alerts | 0DTE options | Paper trading
50,Loliwinezkid,70,high,ultra_short_term,55,scalper,60,low,moderate,30,Mobile alerts | 0DTE options | Paper trading
51,DomLuminous,70,high,short_term,55,momentum_trader,60,low,aggressive,30,Options chains | Advanced orders | Margin trading
52,LouisianaOil,70,high,short_term,80,swing_trader,60,low,aggressive,30,Options chains | Advanced orders | Margin trading
53,Watchmeplz,70,high,ultra_short_term,55,day_trader,60,low,moderate,30,Mobile alerts | 0DTE options | Paper trading
54,SmartMoneySarge,70,high,short_term,55,momentum_trader,60,low,aggressive,30,Options chains | Advanced orders | Margin trading
55,Thunderman,70,high,short_term,55,swing_trader,60,low,aggressive,30,Options chains | Advanced orders | Margin trading
56,Subaru350,70,high,ultra_short_term,55,day_trader,60,low,moderate,30,Mobile alerts | 0DTE options | Paper trading
57,PassiveTRDR,70,high,ultra_short_term,50,day_trader,55,low,moderate,29,Mobile alerts | 0DTE options | Paper trading
58,SniffingGains,70,high,ultra_short_term,55,day_trader,60,low,moderate,30,Mobile alerts | 0DTE options | Paper trading
59,stockandsex,70,high,ultra_short_term,65,day_trader,70,low,moderate,40,Mobile alerts | 0DTE options | Paper trading
60,TheStockTraderHub,70,high,short_term,80,momentum_trader,60,low,aggressive,30,Options chains | Advanced orders | Margin trading
61,GibbGA,70,high,short_term,100,swing_trader,100,low,aggressive,30,Options chains | Advanced orders | Margin trading
62,DayDreamingFUND,70,high,short_term,55,momentum_trader,90,low,aggressive,32,Options chains | Advanced orders | Margin trading
63,debugger73,70,high,short_term,45,momentum_trader,50,low,aggressive,22,Options chains | Advanced orders | Margin trading
64,Stockhuntersupreme,70,high,ultra_short_term,55,day_trader,60,low,moderate,30,Mobile alerts | 0DTE options | Paper trading
65,BioRich,70,high,short_term,80,swing_trader,60,low,aggressive,30,Options chains | Advanced orders | Margin trading
66,Jarry83,70,high,ultra_short_term,55,scalper,60,low,moderate,30,Mobile alerts | 0DTE options | Paper trading
67,figg428,70,high,ultra_short_term,55,scalper,60,low,moderate,30,Mobile alerts | 0DTE options | Paper trading
68,LachlanGoode,70,high,ultra_short_term,35,day_trader,40,low,moderate,11,Mobile alerts | 0DTE options | Paper trading
69,BigGreenie,70,high,short_term,80,swing_trader,60,low,aggressive,30,Options chains | Advanced orders | Margin trading
70,Stockmarketinvest,70,high,ultra_short_term,55,scalper,60,low,moderate,30,Mobile alerts | 0DTE options | Paper trading
71,PivotPoint_101,70,high,ultra_short_term,55,scalper,60,low,moderate,30,Mobile alerts | 0DTE options | Paper trading
72,Profitrip,70,high,ultra_short_term,80,scalper,60,low,moderate,30,Mobile alerts | 0DTE options | Paper trading
73,ScaredMoneyNeverWin,70,high,ultra_short_term,55,day_trader,60,low,moderate,30,Mobile alerts | 0DTE options | Paper trading
74,kingdomprofits,70,high,ultra_short_term,55,day_trader,60,low,moderate,30,Mobile alerts | 0DTE options | Paper trading
75,GoodNewsBull,70,high,ultra_short_term,55,day_trader,60,low,moderate,30,Mobile alerts | 0DTE options | Paper trading
76,StockTraderLog,70,high,short_term,55,swing_trader,60,low,aggressive,30,Options chains | Advanced orders | Margin trading
77,Apesimio,70,high,short_term,55,momentum_trader,60,low,aggressive,30,Options chains | Advanced orders | Margin trading
78,Bommel1,70,high,short_term,55,swing_trader,60,low,aggressive,30,Options chains | Advanced orders | Margin trading
79,tkstockpicker,70,high,ultra_short_term,55,day_trader,60,low,moderate,32,Mobile alerts | 0DTE options | Paper trading
80,WallStJesus,70,high,ultra_short_term,55,day_trader,60,low,moderate,30,Mobile alerts | 0DTE options | Paper trading
81,NikoST,70,high,ultra_short_term,80,scalper,60,low,moderate,30,Mobile alerts | 0DTE options | Paper trading
82,Ersttr3der,70,high,short_term,55,swing_trader,90,low,aggressive,30,Options chains | Advanced orders | Margin trading
83,yushi96,70,high,ultra_short_term,55,day_trader,60,low,moderate,30,Mobile alerts | 0DTE options | Paper trading
84,predictioner,70,high,ultra_short_term,55,scalper,60,low,moderate,30,Mobile alerts | 0DTE options | Paper trading
85,r0r0thegr8,70,high,ultra_short_term,80,day_trader,60,low,moderate,31,Mobile alerts | 0DTE options | Paper trading
86,ezekeil,70,high,ultra_short_term,80,day_trader,60,low,moderate,30,Mobile alerts | 0DTE options | Paper trading
87,XRP_Kingdom2040,70,high,short_term,55,swing_trader,60,low,aggressive,30,Options chains | Advanced orders | Margin trading
88,Elephantitis_of_the_nuts,70,high,short_term,55,momentum_trader,60,low,aggressive,31,Options chains | Advanced orders | Margin trading
89,a18300803859,70,high,ultra_short_term,55,scalper,60,low,moderate,30,Mobile alerts | 0DTE options | Paper trading
90,VMAESA,70,high,ultra_short_term,80,scalper,60,low,moderate,30,Mobile alerts | 0DTE options | Paper trading
91,MorganChase,70,high,short_term,55,swing_trader,60,low,aggressive,30,Options chains | Advanced orders | Margin trading
92,smokyNINJA,70,high,ultra_short_term,55,scalper,60,low,moderate,30,Mobile alerts | 0DTE options | Paper trading
93,Co_C,70,high,ultra_short_term,55,day_trader,60,low,moderate,30,Mobile alerts | 0DTE options | Paper trading
94,HFlier,70,high,ultra_short_term,100,scalper,60,low,moderate,30,Mobile alerts | 0DTE options | Paper trading
95,muhammadhc93,70,high,ultra_short_term,35,scalper,40,low,moderate,11,Mobile alerts | 0DTE options | Paper trading
96,Molllz_smartmoney,70,high,ultra_short_term,80,day_trader,60,low,moderate,30,Mobile alerts | 0DTE options | Paper trading
97,Iam4our,70,high,ultra_short_term,55,scalper,60,low,moderate,30,Mobile alerts | 0DTE options | Paper trading
98,MKRReformed,70,high,ultra_short_term,100,scalper,60,low,moderate,31,Mobile alerts | 0DTE options | Paper trading
99,Juhanialainen,70,high,short_term,55,swing_trader,60,low,aggressive,30,Options chains | Advanced orders | Margin trading
100,Businesspro,70,high,short_term,80,swing_trader,60,low,aggressive,30,Options chains | Advanced orders | Margin trading
